Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Baldur's Gate III,"Action, Adventure, Fantasy",98%,2023.0,"Return to the Faerun in a tale of fellowship and betrayal, and the lure of absolute power. Mysterious abilities are awakening inside you. Resist, and turn darkness against itself. Or embrace corruption, and become ultimate evil.",Swen Vincke,"Amelia Tyler, Neil Newbon, Jennifer English, Devora Wilde",M
Starfield,"Action, Adventure, Drama",87%,2023.0,"Set 300 years in the future, the player will assume the role of a customisable character who is a member of Constellation, an organization of space explorers.",Todd Howard,"Sumalee Montano, Damien C. Haas, Barry Wiggins, Jake Green",M
Red Dead Redemption II,"Action, Adventure, Crime",97%,2018.0,"Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.",unspecified,"Benjamin Byron Davis, Roger Clark, Rob Wiethoff, Cali Elizabeth Moore",M
Armored Core VI: Fires of Rubicon,"Action, Adventure, Sci-Fi",79%,2023.0,"Fifty years after a cataclysm caused by a substance discovered on the planet Rubicon 3 that destroyed the planet and surrounding stars, a mercenary travels to Rubicon 3 and is pulled into a war over the substance involving many factions.","Masaru Yamamura, Kenneth Kin Yue Chan, Hidetaka Miyazaki, Naoyuki Takahashi","Fairouz Ai, Takayuki Sakazume, Megumi Han, Ayaka Shimoyamada",T
The Quarry,"Action, Adventure, Drama",%,2022.0,"When the sun goes down on the last night of summer camp, nine teenage counselors are plunged into an unpredictable night of horror.",Will Byles,"Siobhan Williams, Skyler Gisondo, Ted Raimi, Grace Zabriskie",M
God of War: Ragnarök,"Action, Adventure, Drama",96%,2022.0,"Kratos and his son Atreus face the oncoming Norse apocalypse, Ragnarok.",Eric Williams,"Christopher Judge, Sunny Suljic, Danielle Bisutti, Robert Craighead",M
Grand Theft Auto V,"Action, Adventure, Crime",95%,2013.0,Three very different criminals team up for a series of heists and walk into some of the most thrilling experiences in the corrupt city of Los Santos.,unspecified,"Shawn Fonteno, Ned Luke, Steven Ogg, Gerald 'Slink' Johnson",M
Mortal Kombat 1,"Action, Adventure, Fantasy",N/A%,2023.0,"Discover a reborn Mortal Kombat Universe created by the Fire God Liu Kang. Mortal Kombat 1 ushers in a new era of the iconic franchise with a new fighting system, game modes, and fatalities.","Ed Boon, Paul Johnson","Steve Blum, Cherise Boothe, Andrew Bowen, John Cena",M
Detroit: Become Human,"Action, Adventure, Drama",92%,2018.0,Take control of three androids in their quest to discover who they really are.,David Cage,"Valorie Curry, Bryan Dechart, Jesse Williams, Audrey Boustani",M
Star Wars Jedi: Survivor,"Action, Adventure, Drama",91%,2023.0,"The story of Cal Kestis continues in STAR WARS Jedi: Survivor, a galaxy-spanning, third-person, action-adventure game.",Stig Asmussen,"Cameron Monaghan, Debra Wilson, Noshir Dalal, Tina Ivlev",T
Immortals of Aveum,"Action, Fantasy",81%,2023.0,"In a world shaped by conflict and bloodshed over the control of magic, known as the Everwar, one soldier with newfound powers is reluctantly thrust into mankind's endless battle.",Bret Robbins,"Darren Barnet, Gina Torres, Lily Cowles, Antonio Aakeel",M
The Last of Us,"Action, Adventure, Drama",97%,2013.0,"In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States.","Neil Druckmann, Bruce Straley","Troy Baker, Ashley Johnson, Hana Hayes, Jeffrey Pierce",M
Cyberpunk 2077,"Action, Crime, Drama",82%,2020.0,"In Night City, a mercenary known as V navigates a dystopian society in which the line between humanity and technology becomes blurred.",Adam Badowski,"Cherami Leigh, Gavin Drea, Keanu Reeves, Emily Woo Zeller",M
The Last of Us: Part II,"Action, Adventure, Drama",87%,2020.0,"Five years after the events of The Last of Us, Ellie embarks on another journey through a post-apocalyptic America on a mission of vengeance against a mysterious militia.","Neil Druckmann, Kurt Margenau, Anthony Newman","Ashley Johnson, Troy Baker, Derek Phillips, Jeffrey Pierce",M
Final Fantasy XVI,"Action, Adventure, Drama",%,2023.0,"As a malady known as the Blight ravages the land of Valisthea and its realms plunge into war, Clive Rosfield, the firstborn son of the Archduke of Rosaria, sets out on a dark, dangerous journey to revenge following a tragedy.","Kazutoyo Maehiro, Hiroshi Takai","Ben Starr, Yûya Uchida, Yuma Uchida, Susannah Fielding",M
Red Dead Redemption,"Action, Adventure, Crime",94%,2010.0,A former outlaw is forced by the federal government to hunt down the members of his old gang.,unspecified,"Rob Wiethoff, Josh Blaylock, Sophia Marzocchi, Spider Madison",M
Grand Theft Auto: San Andreas,"Action, Crime",94%,2004.0,"Carl ""CJ"" Johnson, a member of the Grove Street street gang, comes home after a family tragedy to find it overtaken by crime and corruption, which he must take back before things become worse.",unspecified,"Young Maylay, Faizon Love, Yolanda 'Yo-Yo' Whittaker, Clifton Powell",M
Call of Duty: Modern Warfare II,"Action, Adventure, Crime",77%,2022.0,"Task Force 141 faces its greatest threat yet - a newly aligned menace with deep, yet unknown, connections.",Jeffrey Keith Negus,"Alain Mesa, Barry Sloane, Ramon Fernandez, Claudia Doumit",M
Batman: Arkham Knight,"Action, Crime, Mystery",%,2015.0,"With his back against the wall, Batman turns to his closest allies to help him save Gotham City from the clutches of Scarecrow and the Arkham Knight's army. A familiar face also returns to give The Dark Knight a message he cannot ignore.",Sefton Hill,"Carlos Alazraqui, Laura Bailey, Troy Baker, Jonathan Banks",M
Death Stranding,"Action, Adventure, Drama",88%,2019.0,Deliveryman Sam Porter must travel across a ravaged wasteland and reconnect the city states of America formed after a mysterious apocalyptic event dubbed 'death stranding' left the world in ruins and plagued by supernatural tar creatures.,Hideo Kojima,"Norman Reedus, Mads Mikkelsen, Léa Seydoux, Troy Baker",M
Batman: Arkham Asylum,"Action, Adventure, Crime",91%,2009.0,You control Batman as he fights to subdue The Joker and his fellow inmates when they seize control of the Asylum on Arkham Island.,Sefton Hill,"Mark Hamill, Kevin Conroy, Arleen Sorkin, Tom Kane",T
The Witcher 3: Wild Hunt,"Action, Adventure, Drama",97%,2015.0,"A monster slayer must find his adoptive daughter, a living weapon that can bring the world to an end.",Konrad Tomaszkiewicz,"Doug Cockle, Denise Gough, Jo Wyatt, Jaimi Barbakoff",M
Batman: Arkham City,"Action, Adventure, Crime",94%,2011.0,"When part of Gotham is turned into a private reserve for criminals known as Arkham City, all hell is sure to break loose, and the Dark Knight is the only one who can stop it.",Sefton Hill,"Kevin Conroy, Mark Hamill, David Kaye, Carlos Alazraqui",T
Hogwarts Legacy,"Action, Adventure, Fantasy",88%,2023.0,"Set during the late 1800s, a newly enrolled student at Hogwarts discovers that they possess the unusual ability to perceive and master Ancient Magic, becoming the key to an old secret that threatens to tear the wizarding world apart.","Natalie Gray, Nathan Hendrickson, Alan Tew","Alastair Duncan, Amy Louise Pemberton, Asif Ali, Carla Tassara",T
Elden Ring,"Action, Adventure, Fantasy",94%,2022.0,"In a dark fantasy world created by Hidetaka Miyazaki (Dark Souls) and George R. R. Martin (A Song of Ice and Fire), the player is a Tarnished who is called back to the Lands Between to restore the Elden Ring and become the Elden Lord.","Hidetaka Miyazaki, Yui Tanimura","Martha Mackintosh, Anthony Howell, Con O'Neill, Ramon Tikaram",M
Spider-Man,"Action, Adventure, Fantasy",92%,2018.0,"When a new villain threatens New York City, Peter Parker and Spider-Man's worlds collide. To save the city and those he loves, he must rise up and be greater.",Ryan Smith,"Yuri Lowenthal, Tara Platt, Travis Willingham, William Salyers",T
Peaky Blinders: The King's Ransom,"Action, Adventure, Crime",88%,2022.0,The first virtual reality game inspired by the epic gangster drama. Players come face-to-face with notorious crime boss Tommy Shelby and his hot-headed brother Arthur in the hunt for Churchill's Red Box.,"Russell Harding, Marcus Moresby","Cillian Murphy, Paul Anderson, Ruth Gibson, Pooky Quesnel",Not Rated
The Elder Scrolls V: Skyrim,"Action, Adventure, Fantasy",93%,2011.0,"After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.","Todd Howard, Nick James Pearce","Max von Sydow, Christopher Plummer, Joan Allen, Michael Hogan",M
God of War,"Action, Adventure, Drama",95%,2018.0,"After wiping out the gods of Mount Olympus, Kratos moves on to the frigid lands of Scandinavia, where he and his son must embark on an odyssey across a dangerous world of gods and monsters.",Cory Barlog,"Christopher Judge, Sunny Suljic, Jeremy Davies, Danielle Bisutti",M
Grand Theft Auto: Vice City,"Action, Crime, Drama",92%,2002.0,"After being released from jail, Tommy Vercetti leaves Liberty City for Vice City, a city overrun by the mob. Now, Tommy is out to make Vice City his home.",unspecified,"Ray Liotta, William Fichtner, Tom Sizemore, Dennis Hopper",M
Mortal Kombat 11,"Action, Adventure, Fantasy",79%,2019.0,"When a time lord starts merging past with the present, versions of heroes from both Mortal Kombat timelines must unite to right past wrongs and save the world.","Ed Boon, Martin Stoltz","Ike Amadi, Troy Baker, JB Blanc, Steve Blum",M
Spider-Man 2,"Action, Adventure, Crime",N/A%,2023.0,"Plot unknown. A sequel to the 2018 game ""Spider-Man"".","Bryan Intihar, Ryan Smith","Yuri Lowenthal, Nadji Jeter, Mark Rolston, Laura Bailey",T
Spider-Man: Miles Morales,"Action, Adventure, Fantasy",84%,2020.0,"In this sequel of Marvel's Spider-Man (2018), you can play as Miles Morales as a new and different Spider-Man while he learns some stories about his will of fighting crime and serving justice by his mentor and former hero, Peter Parker.",Ryan Smith,"Nadji Jeter, Yuri Lowenthal, Jacqueline Pinol, Fred Tatasciore",T
Ghost of Tsushima,"Action, Adventure, Drama",92%,2020.0,"Set in 1274 on the Tsushima Island, the last samurai, Jin Sakai, must master a new fighting style, the way of the Ghost, to defeat the Mongol forces and fight for the freedom and independence of Japan.",Nate Fox,"Daisuke Tsuji, Eric Steinberg, Sumalee Montano, Patrick Gallagher",M
Squadron 42,"Action, Sci-Fi",N/A%,unspecified,Take the role of a rookie UEE Navy combat pilot in a cinematic single-player adventure set in the Star Citizen universe.,Chris Roberts,"Gary Oldman, Mark Hamill, Mark Strong, Sophie Wu",Not Rated
Uncharted 4: A Thief's End,"Action, Adventure, Drama",95%,2016.0,"Thrown back into the dangerous underworld he'd tried to leave behind, Nathan Drake must decide what he's willing to sacrifice to save the ones he loves.","Neil Druckmann, Bruce Straley","Nolan North, Troy Baker, Richard McGonagle, Emily Rose",T
Star Wars Jedi: Fallen Order,"Action, Adventure, Drama",85%,2019.0,"Set shortly after Revenge of the Sith, the player takes on the role of a Jedi padawan being hunted by the Empire after Order 66.",Stig Asmussen,"Cameron Monaghan, Daniel Roebuck, Debra Wilson, Dee Bradley Baker",T
Horizon Forbidden West,"Action, Adventure, Sci-Fi",%,2022.0,Aloy treks into an arcane region and faces new hostile enemies and threats in search of a way to heal the world from a deadly blight and catastrophic storms.,Mathijs de Jonge,"Ashly Burch, John Macmillan, Lesley Ewen, Lance Reddick",T
The Texas Chain Saw Massacre,"Action, Horror, Thriller",85%,2023.0,The Texas Chain Saw Massacre is an asymmetrical horror experience based on the groundbreaking and iconic 1974 horror film.,"Ronnie Hobbs, Lex Lang","Scout Taylor-Compton, Jeannie Tirado, Bryarly Bishop, Zeno Robinson",M
Fallout 4,"Action, Adventure, Drama",86%,2015.0,"In the post-apocalyptic Boston, Massachusetts area, you play as the ""Sole Survior"" of Vault 111, recently revived from centuries of forced cryostasis, determined to find your kidnapped son.",Todd Howard,"Brian T. Delaney, Courtenay Taylor, Stephen Russell, Courtney Ford",M
Grand Theft Auto IV,"Action, Crime, Drama",89%,2008.0,"Niko Bellic comes to Liberty City, America to live the good life, but ends up having to assist his dangerously indebted cousin Roman with his financial troubles, by any (mostly illegal) means necessary.",unspecified,"Michael Hollick, Jason Zumwalt, Timothy Adams, Moti Margolin",M
Five Nights at Freddy's: Security Breach,"Action, Adventure, Horror",67%,2021.0,"Play as Gregory, a young boy who's been trapped overnight inside of Freddy Fazbear's Mega Pizzaplex. With the help of Freddy himself, Gregory must uncover the secrets of the Pizzaplex, learn the truth, and survive until dawn.","Brian Freyermuth, Jason Topolski","Andy Field, Kellen Goff, Heather Masters, Cameron Miller",T
Resident Evil 4,"Action, Horror, Sci-Fi",94%,2023.0,Remake of the 2005 game Resident Evil 4.,"Yasuhiro Anpo, Kazunori Kadoi","Nick Apostolides, Genevieve Buechner, André Peña, Lily Gao",M
Super Mario Bros. Wonder,"Action, Adventure, Family",N/A%,2023.0,"Classic Mario side-scrolling gameplay is turned on its head with the addition of Wonder Flowers, Witness pipes coming alive, wreak havoc as a giant spiky ball, and see even more unexpected events called Wonder Effects.",Shiro Mouri,"Kenny James, Samantha Kelly, Deanna Mustard",E
Saints Row,"Action, Comedy, Crime",49%,2022.0,"A reboot of the Saints Row series, about a criminal gang taking over a city.","Douglas Carrigan, Larry E Gates II, Jaimie Johnson","Max Mittelman, Erica Lindbeck, Catero Alain Colbert, Bryce Charles",M
Fallout: New Vegas,"Action, Adventure, Sci-Fi",89%,2010.0,"After surviving a bullet to the head, Courier Six traverses the post-apocalyptic Mojave desert in search of the men who wronged him, while making an impact on thousands in the process.",Josh Sawyer,"Matthew Perry, Wayne Newton, Kris Kristofferson, Ron Perlman",M
Assassin's Creed: Valhalla,"Action, Adventure, Fantasy",79%,2020.0,England in the age of the Vikings is a fractured nation of petty lords and warring kingdoms. Beneath the chaos lies a rich and untamed land waiting for a new conqueror. Will it be you?,"Eric Baptizat, Benoit Richer, Stephane Boudon","Cecilie Stenspil, Magnus Bruun, Carlo Rota, Gaia Weiss",M
Call of Duty: Modern Warfare,"Action, Drama, Thriller",84%,2019.0,"Captain Price and the SAS partner with the CIA and the Urzikstani Liberation Force to retrieve stolen chemical weapons. The fight takes you from London to the Middle East and beyond, as this joint task force battles to stop a global war.",unspecified,"Barry Sloane, Asher Sarraf, Chad Michael Collins, Nick Boraine",M
The Legend of Zelda: Tears of the Kingdom,"Action, Adventure, Fantasy",96%,2023.0,"When Link and princess Zelda investigate Zonai ruins in a cave beneath the castle, they witness the awakening of a mummified Ganondorf, whose powers then corrupt Link's arm, after which Hyrule Castle is sent floating upward into the sky.",Hidemaro Fujibayashi,"Kengo Takanashi, Yû Shimamura, Kosuke Takaguchi, Riki Kagami",E10+
Destiny 2,"Action, Adventure, Fantasy",76%,2017.0,"Humanity's last safe city has fallen to an overwhelming invasion force, led by Ghaul, the imposing commander of the brutal Red Legion. He has stripped the city's Guardians of their power, and forced the survivors to flee.","Christopher Barrett, Luke Smith, Ryan Ellis, Jim McQuillan","Nathan Fillion, Lance Reddick, Gina Torres, Nolan North",T
L.A. Noire,"Action, Crime, Drama",87%,2011.0,"Cole Phelps, a war hero and rookie cop, moves up the ranks and solves dark cases in 1940s Los Angeles.",Brendan McNamara,"Aaron Staton, Michael McGrady, Adam J. Harrington, Sean McGowan",M
Diablo IV,"Action, Adventure, Fantasy",83%,2023.0,"After millions have been slaughtered by the actions of the High Heavens and Burning Hells alike. In the power vacuum, a legendary name resurfaces - Lilith, daughter of Mephisto, the whispered progenitor of humanity.","Luis Barriga, Mikal Vega","Laila Berzins, Ray Chase, Courtenay Taylor, Andrew Morgado",M
Horizon Zero Dawn,"Action, Adventure, Sci-Fi",%,2017.0,"In a primitive tribal world where strange, monstrous, animalistic machines roam the wilderness, a brave young female warrior goes on a quest to learn the truth about her mysterious origin and the state the world is in.",Mathijs de Jonge,"Ashly Burch, Laura van Tol, Ava Potter, JB Blanc",T
Far Cry 6,"Action, Adventure, Crime",74%,2021.0,"As dictator of Yara, Anton Castillo is intent on restoring his nation back to its former glory by any means, with his son, Diego, following in his bloody footsteps.","Ben Bauer, Omar Bouali, Kama Dunsmore, Benjamin Hall, Mischa Hrziwnatzki, Ji Wen Jing, Karri Kiviluoma, Anthony Kwan, Alexandre Letendre, Catherine Tirran, Grant Harvey","Giancarlo Esposito, Anthony Gonzalez, Nisa Gunduz, Sean Rey",M
Beyond: Two Souls,"Action, Adventure, Drama",84%,2013.0,"Live the life of Jodie Holmes, a young woman who possesses supernatural powers through her psychic link to a mysterious invisible entity.",David Cage,"Elliot Page, Willem Dafoe, Eric Winter, Kadeem Hardison",M
Assassin's Creed: Odyssey,"Action, Adventure, Fantasy",84%,2018.0,"Set in 431 BC during the Pelopenesian War, play as either a male or female mercenary as you embark on your own epic odyssey to become a legendary Spartan hero in a world where every choice matters.","Jonathan Dumont, Scott Phillips, Sophie Ann Rooney","Melissanthi Mahut, Michael Antonakos, Leonidas Castrounis, Maria Syrgiannis",M
Star Wars: The Force Unleashed,"Action, Adventure, Fantasy",%,2008.0,"Darth Vader's secret apprentice, codenamed Starkiller, is trained in the Dark Side to defeat the enemies of the Empire, but must find his own path when his master betrays him.","Haden Blackman, Steve Stamatiadis, Martin Stoltz","Sam Witwer, Nathalie Cox, Cully Fredricksen, David W. Collins",T
Resident Evil Village,"Action, Horror, Mystery",87%,2021.0,Ethan Winters' world suddenly comes crashing down when Chris Redfield's appearance sets off a chain of events that ultimately leads him to a mysterious village.,"Morimasa Sato, America Young","Todd Soley, Katie O'Hagan, Jeff Schine, Michelle Lukes",M
Grand Theft Auto VI,"Action, Crime, Drama",N/A%,2024.0,No information filled,unspecified,"Eric Maroni, Leslie Lluvet",M
Days Gone,"Action, Adventure, Drama",83%,2019.0,"Two years after a devastating global pandemic, bounty hunter Deacon St. John faces a brutal struggle for survival, and a reason to live.","John Garvin, Jeff Ross","Sam Witwer, Jim Pirri, Courtnee Draper, Nishi Munshi",M
High on Life,"Action, Adventure, Comedy",78%,2022.0,"Humanity is being threatened by an alien cartel who wants to use them as drugs. It's up to you to rescue and partner with charismatic, talking guns, take down Garmantuous and his gang, and save the world.",unspecified,"Justin Roiland, J.B. Smoove, Betsy Sodaro, Tim Robinson",M
Final Fantasy VII Remake,"Action, Adventure, Drama",%,2020.0,Re-imagining of,Tetsuya Nomura,"Cody Christian, Briana White, Britt Baron, John Eric Bentley",T
Call of Duty: Modern Warfare 2,"Action, Thriller",88%,2009.0,"A massacre at a Russian airport leads to a war between Russia and the United States. Meanwhile, a Task Force is sent to find the perpetrators and bring the bloodshed to an end.",Jason West,"Lance Henriksen, Keith David, Barry Pepper, Kevin McKidd",M
Far Cry 3,"Action, Adventure, Crime",88%,2012.0,"While skydiving, Jason Brody and his friends land on an island overrun by pirates, where Jason is torn between fighting for the Rakyat resistance and rescuing his friends.","Laurent Bernier, Robert Darryl Purdy","Lane Edwards, Alex Harrouch, Mylène Dinh-Robic, Kristian Hodko",M
Assassin's Creed IV: Black Flag,"Action, Adventure, History",87%,2013.0,"A video game where you play as sailor, privateer and assassin Edward Kenway exploring on and around the islands in the Caribbean Sea during the early 17th century.",Ashraf Ismail,"Ralph Ineson, Dan Jeannotte, Sarah Greene, Stuart Martin",M
Injustice 2,"Action, Adventure, Fantasy",85%,2017.0,"Following the end of Superman's totalitarian reign over the Earth, Batman and his allies attempt to piece the world back together only to be faced with a new threat that will cause them to do the unthinkable.","Ed Boon, Dominic Cianciolo, Martin Stoltz","Phil LaMarr, Vanessa Marshall, Khary Payton, Taliesin Jaffe",T
Alan Wake II,"Action, Crime, Fantasy",N/A%,2023.0,"13 years after bestselling thriller writer Alan Wake went missing, a string of ritualistic murders occur in the town of Bright Falls, Washington. Saga Anderson, an FBI agent, is sent to Bright Falls to investigate the murders.","Sam Lake, Kyle Rowley","Shawn Ashmore, David Harewood, James McCaffrey, Melanie Liburd",M
Control,"Action, Adventure, Horror",81%,2019.0,"You are Jesse Faden, a young woman with a troubled past. You become the new Director of the Bureau of Control - Our frontline in researching and fighting against supernatural enemies like the Hiss threatening our very existence.","Mikael Kasurinen, Sam Lake","Courtney Hope, Sean Durrie, James McCaffrey, Matthew Porretta",M
Far Cry 5,"Action, Adventure, Crime",79%,2018.0,"A deputy is sent to the town of Hope County to arrest Joseph Seed, a corrupt evangelical religious leader who rules the town with the help of his disturbed followers.",Patrick Methe,"Greg Bryk, Mark Pellegrino, Seamus Dever, Jenessa Grant",M
Resident Evil 2,"Action, Crime, Horror",%,2019.0,Re-imagining of,"Yasuhiro Anpo, Kazunori Kadoi","Nick Apostolides, Stephanie Panisello, Jolene Andersen, Eliza Pryor",M
Alan Wake,"Action, Adventure, Horror",84%,2010.0,"While on vacation in the small town of Bright Falls, a struggling writer must investigate the mysterious disappearance of his wife while events from his latest manuscript, which he can't remember writing, begin to come true.",Petri Järvilehto,"Matthew Porretta, Lloyd Floyd, Geoffrey Cantor, James McCaffrey",T
The Callisto Protocol,"Action, Horror, Sci-Fi",72%,2022.0,A crashed cargo pilot struggles to survive against horrific mutating prisoners on Jupiters moon.,Glen A. Schofield,"Josh Duhamel, Karen Fukuhara, Zeke Alton, James Mathis III",M
Suicide Squad: Kill the Justice League,"Action, Adventure, Comedy",N/A%,2024.0,The most dangerous villains in the DC Universe have been forced to team up and take on a new mission: Kill the Justice League.,"Sefton Hill, Rasmus Højengaard","Tara Strong, Joe Seanoa, Debra Wilson, Kevin Conroy",M
Metal Gear Solid V: The Phantom Pain,"Action, Adventure, Drama",88%,2015.0,"After awakening from a nine year coma, Big Boss forms a new mercenary group called, Diamond Dogs, and teams up with his former rival, Ocelot, to track down the men responsible for the destruction of MSF.","Hideo Kojima, Junji Tago","Kiefer Sutherland, Robin Atkin Downes, Troy Baker, Stefanie Joosten",M
Mass Effect 2,"Action, Adventure, Drama",95%,2010.0,"After being revived from death and having to join a pro-human organization without a choice, Commander Shepard must assemble a team, battle a new threat, and make tough choices in order to save the galaxy from total annihilation once more.",Casey Hudson,"Shohreh Aghdashloo, Maggie Baird, Adam Baldwin, Michael Beattie",M
Mass Effect,"Action, Adventure, Drama",91%,2007.0,"In a technologically advanced future, an elite human soldier takes command of a prototype star ship and works to defend the galaxy from danger.",Casey Hudson,"Steven Barr, Kimberly Brooks, Keith David, Seth Green",M
Genshin Impact,"Action, Adventure, Fantasy",77%,2020.0,"Each nation is associated with an element and worships a god associated with that element. A pair of twins arrive on Teyvat in the distant past, but are barred from leaving by an unknown god.",unspecified,"Kevin Afghani, Zach Aguilar, Luis Alfonso, Mark Allen Jr.",T
Marvel's Guardians of the Galaxy,"Action, Adventure, Comedy",86%,2021.0,"After an epic conflict known as the Galactic War swept through the cosmos. Star-Lord recently formed the Guardians of the Galaxy, they've been together for less than a year.","Jean-François Dugas, Robert Darryl Purdy","Jon McLaren, Kimberly-Sue Murray, Alex Weiner, Jason Cavalier",T
Baldur's Gate,"Action, Adventure, Fantasy",89%,1998.0,"The main character, ward of mystical monk Gorion, whose name, sex, race and class are defined by the players, leaves his order's keep for the first time and starts a journey to discover his true identity. But someone wants him dead.",Feargus Urquhart,"Dee Bradley Baker, Michael Bell, Jeff Bennett, Gregg Berger",T
Call of Duty: Black Ops,"Action, Horror, Thriller",83%,2010.0,"Former Marine Captain and CIA operative Alex Mason, upon interrogation by an unknown party, recounts his violent experiences with the Bay of Pigs, a radical Soviet conspiracy, and the Vietnam war.",Dave Anthony,"James C. Burns, Emmanuelle Chriqui, Ice Cube, Ed Harris",M
Kingdom Hearts III,"Action, Adventure, Family",83%,2019.0,"Believing light and darkness must remain in balance, Master Xehanort seeks to spark war against the ""tyranny of light"" to restore equilibrium.","Tetsuya Nomura, Tai Yasue, Masaru Oka","Haley Joel Osment, David Gallagher, Alyson Stoner, Jason Dohring",E10+
God of War,"Action, Adventure, Fantasy",%,2005.0,"After 10 years of endless nightmares and servitude to the gods of Olympus, Kratos is assigned with a final task, to kill Ares, the God of War.","David Jaffe, Greg Tiernan","Linda Hunt, Terrence 'T.C.' Carson, Carole Ruggier, Steve Blum",M
Batman: Arkham Origins,"Action, Adventure, Crime",82%,2013.0,"Years before the Arkham incidents, the neophyte Dark Knight finds himself the target of an open murder contract courtesy of Black Mask that draws eight of the world's deadliest assassins and a new criminal named The Joker.","Eric Holmes, Benoit Richer, Blade Zavier","Carlos Alazraqui, Laura Bailey, Troy Baker, JB Blanc",T
Command & Conquer: Red Alert 3,"Action, Sci-Fi, War",76%,2008.0,"As the Soviet Union was beginning to face defeat by the powers of the western world, General Krukov and Colonel Cherdenko with Dr. Zelinski make a last ditch effort to save the Union by using Zelinski's latest invention, a time machine.",Richard Taylor,"Gemma Atkinson, Gina Carano, Tim Curry, Andrew Divoff",T
Fallout 3,"Action, Adventure, Sci-Fi",91%,2008.0,"Centuries following nuclear war, a teen leaves the safety of an underground vault in order to find their father, who left in hopes of creating a water purifier.",Todd Howard,"Liam Neeson, Malcolm McDowell, Ron Perlman, Odette Annable",M
A Plague Tale: Requiem,"Action, Adventure, Drama",85%,2022.0,"After escaping their devastated homeland, Amicia and Hugo travel far south. There, they attempt to start a new life and control Hugo's curse. But, when Hugo's powers reawaken, death and destruction return in a flood of devouring rats.","Kevin Choteau, Jason Baughan","Robyn Wolf, Chloe Louis, Tom Hudson, Giorgia Sinicorni",M
Cyberpunk 2077: Phantom Liberty,"Action, Adventure, Crime",N/A%,2023.0,Phantom Liberty is a new spy-thriller adventure for Cyberpunk 2077. Return as cyber-enhanced mercenary V and embark on a high-stakes mission of espionage and intrigue to save the NUS President.,Gabriel Amantangelo,"Keanu Reeves, Idris Elba, Cherami Leigh, Gavin Drea",M
Grand Theft Auto III,"Action, Crime, Drama",87%,2001.0,"A young bank robber escapes from police custody and works his way up through the mafia ladder of crime-ridden Liberty City, USA.",unspecified,"Frank Vincent, Joe Pantoliano, Michael Madsen, Michael Rapaport",M
Baldur's Gate II: Shadows of Amn,"Action, Adventure, Fantasy",94%,2000.0,"Jon Irenicus, a sadistic secretive powerful mage bent on revenge, captures Gorion's ward and his/her party for a diabolical experiment.",Feargus Urquhart,"David Warner, Charlie Adler, Dee Bradley Baker, Michael Bell",T
Fortnite,"Action, Adventure, Comedy",52%,2017.0,"A cooperative shooter-survival game for up to four players to fight off zombie-like husks, defend objects with fortifications you can build, and a battle royale mode where up to 100 players fight to be the last person standing.","Donald Mustard, Darren Sugg","Adria Arjona, David Boat, Ashly Burch, David Chen",T
Tomb Raider,"Action, Adventure, Fantasy",87%,2013.0,"Armed with only the raw instincts and physical ability, experience Lara Croft's intense origin story from a young woman to a hardened survivor.",Noah Hughes,"Camilla Luddington, Robin Atkin Downes, Cooper Thornton, Robert Craighead",M
Minecraft,"Action, Adventure, Family",86%,2009.0,"Welcome to the world of Minecraft where you can build, brew potions, enchant your armor and tools and adventure other biomes. Visit the Nether, or even defeat the Ender Dragon in the End.",Agnes Larsson,"Pierre Coffin, Katie Crown, Luke Harrison",E10+
Assassin's Creed: Origins,"Action, Adventure, Fantasy",85%,2017.0,"A prequel to the Assassin's Creed Franchise set in Egypt from 48 BC where Bayek, a Medjay, begins the foundation of the Assassin's Brotherhood.","Ashraf Ismail, Laurent Bernier, Jean Guesdon","Abubakar Salim, Alix Wilton Regan, Zora Bishop, Michael Nardone",M
Gotham Knights,"Action, Adventure, Crime",65%,2022.0,"Batman is dead. A new expansive, criminal underworld has swept the streets of Gotham City. It is now up to the Batman Family; Batgirl, Nightwing, Red Hood, and Robin; to protect Gotham.","Lloyd Colaco, Alice Bernier, Geoff Ellenor, Ann Lemay, Wilson Mui, Patrick Redding","America Young, Christopher Sean, Sloane Morgan Siegel, Stephen Oyoung",T
God of War III,"Action, Adventure, Fantasy",91%,2010.0,"Armed with his deadly double-chained blades, Kratos must take on Greek mythology's darkest creatures to destroy Olympus and the mighty Zeus himself.",Stig Asmussen,"George Ball, Adrienne Barbeau, Susanne Blakeslee, Clancy Brown",16+
The Last of Us: Part I,"Action, Adventure, Drama",97%,2022.0,"Experience the emotional storytelling and unforgettable characters in The Last of Us, winner of over 200 Game of the Year awards, now rebuilt from the ground up for the PlayStation 5 console.","Matthew Gallant, Bruce Straley","Ashley Johnson, Troy Baker, Hana Hayes, Jeffrey Pierce",M
