Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Apple Slash,"Action, Fantasy",N/A%,2020.0,No information filled,unspecified,Agelvik,E10+
Super,Action,N/A%,2021.0,No information filled,unspecified,unspecified,E10+
The Fifth Expedition,Action,24%,2016.0,"Guide your team of explorers into the treacherous depths of an ancient machine. On a mission to restore the old mechanisms to life and to save your people on the surface, who rely on the age old construct for food and shelter.",Georg Andreas Gerhard Scharfenberg,"Christopher Escalante, Steve Warky Nunez, Ashton Ruby, Tamara Ryan",unspecified
Mega Man Zero Collection,"Action, Adventure, Sci-Fi",75%,2010.0,"In this this re-release on the Nintendo DS contains the entire Mega Man Zero series, which also includes extras and a new gameplay option of playing through each of the four games at an easier difficulty.",unspecified,"Yuto Kazama, Megumi Ogata, Rie Tanaka",E
Major Stryker,"Action, Sci-Fi",74%,1993.0,"After a third world war, Earth is attacked by the alien Kretons. Major Harrison Stryker, a World War III veteran, goes on a mission to wipe out the Kreton military installations on the three planets within their galaxy.",unspecified,unspecified,unspecified
Sewer Sam,Action,N/A%,1983.0,No information filled,unspecified,unspecified,unspecified
Finger Fitness,Action,N/A%,2021.0,"Finger Fitness is idle game with all new controller features. Click on triggers to get points. Upgrade your abilities, buy pets that will bring score and stretch your index fingers.",unspecified,unspecified,E
Masterblazer,Action,N/A%,1990.0,No information filled,unspecified,Julian Eggebrecht,unspecified
Top Gun,Action,N/A%,2007.0,No information filled,unspecified,unspecified,12
Halley's Comet,"Action, Sci-Fi",N/A%,1986.0,No information filled,unspecified,unspecified,unspecified
Mayhem in Monsterland (Nintendo Virtual Console),Action,N/A%,2008.0,No information filled,unspecified,Chris Bailey,unspecified
Gun Commando,Action,N/A%,2013.0,No information filled,unspecified,Sander van der Vegte,unspecified
Superman: Countdown to Apokolips,"Action, Sci-Fi",N/A%,2003.0,"In this prequel to Shadow of Apokolips, Superman has his first encounter with Metallo.",unspecified,Frederic Bibet,E
Wolverine,"Action, Adventure",53%,1991.0,Wolverine has to complete nine missions and then face Sabretooth and Magneto.,unspecified,unspecified,unspecified
Mina the Hollower,"Action, Adventure",N/A%,unspecified,No information filled,unspecified,unspecified,unspecified
Shakugan no Shana R: Touzetsu batoru,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
Pokémon: Blue Kaizo,"Action, Adventure, Fantasy",N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
m-4,Action,N/A%,1977.0,No information filled,unspecified,unspecified,unspecified
